NAME,ba_higher,pci,pop,pct_ba_higher
"Belknap County, NH",14115,39639,47422,0.29764666188688793
"Carroll County, NH",13924,44130,39252,0.35473351676347703
"Cheshire County, NH",16949,36172,53960,0.31410303928836175
"Coos County, NH",4499,30829,24323,0.18496895942112404
"Grafton County, NH",24650,42336,64356,0.38302566971222574
"Hillsborough County, NH",113543,45238,299095,0.37962185927548103
"Merrimack County, NH",36504,40054,109851,0.33230466723106755
"Rockingham County, NH",93083,51627,229184,0.4061496439542027
"Strafford County, NH",30743,38942,86389,0.3558670664089178
"Sullivan County, NH",9079,35238,32274,0.28131003284377515
