rurality,AREA,AREA_TITLE,emp_at_risk,emp_tot,pct_at_risk
Nonrural,10180,"Abilene, TX",34772.86933,62630,0.5552110703
Nonrural,10380,"Aguadilla-Isabela, PR",27591.79433,43690,0.6315356909
Nonrural,10420,"Akron, OH",167134.6993,299160,0.5586799684
Nonrural,10500,"Albany, GA",29501.72467,51280,0.5753066433
Nonrural,10540,"Albany, OR",25126.25833,40080,0.626902653
Nonrural,10580,"Albany-Schenectady-Troy, NY",217951.2937,410140,0.5314070651
Nonrural,10740,"Albuquerque, NM",200483.7537,360790,0.5556799071
Nonrural,10780,"Alexandria, LA",28879.82033,51240,0.5636186638
Nonrural,10900,"Allentown-Bethlehem-Easton, PA-NJ",198951.5743,345400,0.5760033999
Nonrural,11020,"Altoona, PA",29788.278,50890,0.5853463942
Nonrural,11100,"Amarillo, TX",58850.59133,102690,0.5730897978
Nonrural,11180,"Ames, IA",21439.439,38160,0.5618301625
Nonrural,11260,"Anchorage, AK",82128.90333,155200,0.5291810782
Nonrural,11460,"Ann Arbor, MI",94235.135,197930,0.4761033446
Nonrural,11500,"Anniston-Oxford-Jacksonville, AL",23483.35933,37520,0.625889108
Nonrural,11540,"Appleton, WI",66984.048,112200,0.5970057754
Nonrural,11640,"Arecibo, PR",17669.73967,27120,0.6515390733
Nonrural,11700,"Asheville, NC",107156.843,185310,0.5782572068
Nonrural,12020,"Athens-Clarke County, GA",43232.692,75820,0.5702016882
Nonrural,12060,"Atlanta-Sandy Springs-Roswell, GA",1429341.625,2617140,0.5461464138
Nonrural,12100,"Atlantic City-Hammonton, NJ",67981.475,113420,0.5993781961
Nonrural,12220,"Auburn-Opelika, AL",32235.24233,53690,0.6003956479
Nonrural,12260,"Augusta-Richmond County, GA-SC",116769.0083,208990,0.5587301227
Nonrural,12420,"Austin-Round Rock, TX",586041.8387,1125170,0.520847373
Nonrural,12540,"Bakersfield, CA",183952.099,305610,0.6019178005
Nonrural,12580,"Baltimore-Columbia-Towson, MD",614947.1687,1224580,0.5021698612
Nonrural,12940,"Baton Rouge, LA",199173.1217,357680,0.5568472424
Nonrural,12980,"Battle Creek, MI",25449.19133,43260,0.5882845893
Nonrural,13020,"Bay City, MI",16728.343,27630,0.6054412957
Nonrural,13140,"Beaumont-Port Arthur, TX",78276.77633,140070,0.5588404107
Nonrural,13220,"Beckley, WV",20232.847,34570,0.5852718253
Nonrural,13380,"Bellingham, WA",47505.07433,80850,0.5875704927
Nonrural,13460,"Bend-Redmond, OR",45222.63867,78270,0.57777742
Nonrural,13740,"Billings, MT",46293.279,80050,0.5783045472
Nonrural,13780,"Binghamton, NY",47938.41733,85140,0.5630539973
Nonrural,13820,"Birmingham-Hoover, AL",273599.736,478030,0.5723484635
Nonrural,13900,"Bismarck, ND",35165.59567,62950,0.5586274133
Nonrural,13980,"Blacksburg-Christiansburg-Radford, VA",35047.39,61610,0.5688587892
Nonrural,14010,"Bloomington, IL",40780.862,71600,0.5695651117
Nonrural,14020,"Bloomington, IN",35149.11667,59810,0.5876795965
Nonrural,14100,"Bloomsburg-Berwick, PA",17649.89867,32690,0.5399173651
Nonrural,14260,"Boise City, ID",192494.9783,339170,0.5675471838
Nonrural,14500,"Boulder, CO",83566.516,177130,0.4717807034
Nonrural,14540,"Bowling Green, KY",41608.34733,67940,0.6124278383
Nonrural,14740,"Bremerton-Silverdale, WA",44312.95367,81170,0.5459277278
Nonrural,15180,"Brownsville-Harlingen, TX",75281.23433,138590,0.5431938403
Nonrural,15260,"Brunswick, GA",21202.017,35620,0.5952278776
Nonrural,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",276114.0023,498420,0.553978577
Nonrural,15500,"Burlington, NC",34797.554,57060,0.6098414651
Nonrural,15680,"California-Lexington Park, MD",17243.00333,40750,0.4231411861
Nonrural,15940,"Canton-Massillon, OH",88701.74767,152160,0.5829504973
Nonrural,15980,"Cape Coral-Fort Myers, FL",160456.228,269470,0.5954511745
Nonrural,16020,"Cape Girardeau, MO-IL",21166.004,36900,0.5736044444
Nonrural,16060,"Carbondale-Marion, IL",23815.155,42610,0.5589099977
Nonrural,16180,"Carson City, NV",13305.124,23250,0.5722633978
Nonrural,16220,"Casper, WY",19418.54367,31390,0.6186219709
Nonrural,16300,"Cedar Rapids, IA",74537.485,130770,0.5699891795
Nonrural,16540,"Chambersburg-Waynesboro, PA",32058.07633,52270,0.6133169377
Nonrural,16580,"Champaign-Urbana, IL",49803.92067,91510,0.5442456635
Nonrural,16620,"Charleston, WV",50358.029,91190,0.5522319224
Nonrural,16700,"Charleston-North Charleston, SC",190435.0467,338950,0.5618381669
Nonrural,16740,"Charlotte-Concord-Gastonia, NC-SC",685872.02,1229900,0.5576648671
Nonrural,16820,"Charlottesville, VA",49365.07067,97190,0.5079233529
Nonrural,16860,"Chattanooga, TN-GA",137649.7687,236430,0.5822009418
Nonrural,16940,"Cheyenne, WY",23438.82767,40110,0.5843636915
Nonrural,16980,"Chicago-Naperville-Elgin, IL-IN-WI",2320140.573,4277680,0.542382921
Nonrural,17020,"Chico, CA",37909.708,66490,0.5701565348
Nonrural,17140,"Cincinnati, OH-KY-IN",577825.5417,1030970,0.5604678523
Nonrural,17300,"Clarksville, TN-KY",49065.98967,83030,0.5909429082
Nonrural,17420,"Cleveland, TN",23821.085,38310,0.6217980945
Nonrural,17460,"Cleveland-Elyria, OH",525131.379,957750,0.548296924
Nonrural,17660,"Coeur d'Alene, ID",35350.41433,59070,0.5984495401
Nonrural,17780,"College Station-Bryan, TX",58336.08367,106500,0.5477566541
Nonrural,17820,"Colorado Springs, CO",152657.7023,284810,0.5359983931
Nonrural,17860,"Columbia, MO",43954.602,78000,0.5635205385
Nonrural,17900,"Columbia, SC",207160.3967,359650,0.5760055517
Nonrural,17980,"Columbus, GA-AL",57881.66467,103940,0.5568757424
Nonrural,18020,"Columbus, IN",24655.93533,40260,0.6124176685
Nonrural,18140,"Columbus, OH",560714.0713,1026460,0.5462600309
Nonrural,18580,"Corpus Christi, TX",96133.915,170740,0.5630427258
Nonrural,18700,"Corvallis, OR",14931.27633,28150,0.5304183422
Nonrural,18880,"Crestview-Fort Walton Beach-Destin, FL",63613.31533,109920,0.5787237567
Nonrural,19060,"Cumberland, MD-WV",16139.04833,28670,0.5629246018
Nonrural,19100,"Dallas-Fort Worth-Arlington, TX",2014308.072,3698690,0.5446004051
Nonrural,19140,"Dalton, GA",37565.33767,58010,0.6475665862
Nonrural,19180,"Danville, IL",12657.49467,20850,0.6070740847
Nonrural,19300,"Daphne-Fairhope-Foley, AL",45873.21167,71970,0.6373935204
Nonrural,19340,"Davenport-Moline-Rock Island, IA-IL",94799.382,166720,0.5686143354
Nonrural,19380,"Dayton, OH",187184.1407,346400,0.5403699211
Nonrural,19460,"Decatur, AL",29687.555,49740,0.5968547447
Nonrural,19500,"Decatur, IL",19827.51933,34240,0.5790747469
Nonrural,19660,"Deltona-Daytona Beach-Ormond Beach, FL",116311.7047,195490,0.5949752144
Nonrural,19740,"Denver-Aurora-Lakewood, CO",760146.1707,1468150,0.5177578385
Nonrural,19780,"Des Moines-West Des Moines, IA",195577.259,356370,0.5488039369
Nonrural,19820,"Detroit-Warren-Dearborn, MI",1003966.028,1811400,0.5542486627
Nonrural,20020,"Dothan, AL",31221.20033,51790,0.602842254
Nonrural,20100,"Dover, DE",30848.608,55240,0.5584469225
Nonrural,20220,"Dubuque, IA",29627.53067,50990,0.5810459044
Nonrural,20260,"Duluth, MN-WI",61840.68933,113050,0.5470206929
Nonrural,20500,"Durham-Chapel Hill, NC",134980.0563,277870,0.4857669282
Nonrural,20700,"East Stroudsburg, PA",29068.62267,47750,0.6087669668
Nonrural,20740,"Eau Claire, WI",44375.152,75020,0.5915109571
Nonrural,20940,"El Centro, CA",32719.939,55050,0.5943676476
Nonrural,21060,"Elizabethtown-Fort Knox, KY",27096.789,45880,0.5906013296
Nonrural,21140,"Elkhart-Goshen, IN",96037.64867,135910,0.7066268021
Nonrural,21300,"Elmira, NY",16440.27933,27240,0.6035344836
Nonrural,21340,"El Paso, TX",170714.958,300820,0.5674986969
Nonrural,21420,"Enid, OK",10280.13733,17470,0.5884451822
Nonrural,21500,"Erie, PA",63145.836,108510,0.5819356373
Nonrural,21660,"Eugene, OR",81630.94267,140290,0.5818728539
Nonrural,21780,"Evansville, IN-KY",84134.60467,141820,0.593249222
Nonrural,21820,"Fairbanks, AK",15265.76633,27710,0.5509118128
Nonrural,22020,"Fargo, ND-MN",75033.986,131270,0.5716004114
Nonrural,22140,"Farmington, NM",22916.215,38180,0.600215165
Nonrural,22180,"Fayetteville, NC",63769.987,116390,0.5478991924
Nonrural,22220,"Fayetteville-Springdale-Rogers, AR-MO",137537.3637,239120,0.5751813469
Nonrural,22380,"Flagstaff, AZ",31345.127,51200,0.6122095117
Nonrural,22420,"Flint, MI",72465.166,120940,0.5991827849
Nonrural,22500,"Florence, SC",46194.71567,79390,0.58187071
Nonrural,22520,"Florence-Muscle Shoals, AL",27761.47467,46020,0.6032480371
Nonrural,22540,"Fond du Lac, WI",22296.989,37010,0.6024584977
Nonrural,22660,"Fort Collins, CO",84535.66433,156590,0.5398535305
Nonrural,22900,"Fort Smith, AR-OK",60155.99333,99020,0.6075135663
Nonrural,23060,"Fort Wayne, IN",124340,207920,0.5980184686
Nonrural,23420,"Fresno, CA",218200.909,376040,0.5802598367
Nonrural,23460,"Gadsden, AL",15541.46233,26100,0.5954583269
Nonrural,23540,"Gainesville, FL",62653.00467,117120,0.5349471027
Nonrural,23580,"Gainesville, GA",51944.194,85100,0.6103900588
Nonrural,23900,"Gettysburg, PA",16506.04767,26880,0.6140642733
Nonrural,24020,"Glens Falls, NY",25642.35267,43320,0.5919287319
Nonrural,24140,"Goldsboro, NC",20122.70067,33580,0.5992465952
Nonrural,24220,"Grand Forks, ND-MN",24683.836,42300,0.5835422222
Nonrural,24260,"Grand Island, NE",21059.63633,34360,0.6129114183
Nonrural,24300,"Grand Junction, CO",33052.596,56360,0.5864548616
Nonrural,24340,"Grand Rapids-Wyoming, MI",312030.761,535220,0.5829953309
Nonrural,24420,"Grants Pass, OR",14359.55133,23230,0.6181468503
Nonrural,24500,"Great Falls, MT",17687.23567,29860,0.5923387698
Nonrural,24540,"Greeley, CO",56558.92867,95590,0.5916824842
Nonrural,24580,"Green Bay, WI",94330.018,159960,0.58971004
Nonrural,24660,"Greensboro-High Point, NC",199358.6927,338640,0.5887039117
Nonrural,24780,"Greenville, NC",37635.00833,68890,0.5463058257
Nonrural,24860,"Greenville-Anderson-Mauldin, SC",231638.435,397350,0.5829581855
Nonrural,25020,"Guayama, PR",4324.73,7070,0.6117015559
Nonrural,25060,"Gulfport-Biloxi-Pascagoula, MS",80918.21933,139510,0.5800173416
Nonrural,25180,"Hagerstown-Martinsburg, MD-WV",52663.03867,91990,0.5724865601
Nonrural,25220,"Hammond, LA",22648.44867,37860,0.5982157598
Nonrural,25260,"Hanford-Corcoran, CA",20919.57733,33550,0.6235343467
Nonrural,25420,"Harrisburg-Carlisle, PA",169463.397,304830,0.5559275563
Nonrural,25500,"Harrisonburg, VA",33346.841,54450,0.6124305051
Nonrural,25620,"Hattiesburg, MS",32063.31267,54190,0.5916832011
Nonrural,25860,"Hickory-Lenoir-Morganton, NC",88647.94167,144850,0.6119982165
Nonrural,25940,"Hilton Head Island-Bluffton-Beaufort, SC",44696.07933,71770,0.6227682783
Nonrural,25980,"Hinesville, GA",7252.747333,12720,0.5701845388
Nonrural,26140,"Homosassa Springs, FL",16983.508,27630,0.6146763663
Nonrural,26300,"Hot Springs, AR",19174.58833,32200,0.5954841097
Nonrural,26380,"Houma-Thibodaux, LA",41425.19067,69550,0.5956174071
Nonrural,26420,"Houston-The Woodlands-Sugar Land, TX",1610454.455,2954820,0.5450262471
Nonrural,26580,"Huntington-Ashland, WV-KY-OH",65747.97533,118610,0.5543206756
Nonrural,26620,"Huntsville, AL",113289.4007,226330,0.5005496429
Nonrural,26820,"Idaho Falls, ID",37866.96133,67750,0.5589219385
Nonrural,26900,"Indianapolis-Carmel-Anderson, IN",587452.91,1021190,0.5752630852
Nonrural,26980,"Iowa City, IA",42659.40667,79790,0.5346460292
