geoid_co,tech_employment_all_estimate,share_tech,name,name_co
01005,100,0.0116808784020558,Black,"Barbour County, AL"
01011,6,0.00157150340492404,Black,"Bullock County, AL"
01013,151,0.0199550680586758,Black,"Butler County, AL"
01017,198,0.0127923504328725,Black,"Chambers County, AL"
01019,100,0.0102103328568511,White,"Cherokee County, AL"
01023,28,0.00613631382862152,Black,"Choctaw County, AL"
01025,51,0.00642236494144314,Black,"Clarke County, AL"
01029,125,0.0216712898751734,White,"Cleburne County, AL"
01035,0,0,Black,"Conecuh County, AL"
01037,60,0.0145348837209302,Black,"Coosa County, AL"
01043,476,0.0123434380105282,White,"Cullman County, AL"
01047,166,0.0111988126560076,Black,"Dallas County, AL"
01053,100,0.00771485881808363,Black,"Escambia County, AL"
01059,74,0.00567441147151292,Hispanic or Latino,"Franklin County, AL"
01087,69,0.0093167701863354,Black,"Macon County, AL"
01091,24,0.00326663944467129,Black,"Marengo County, AL"
01093,122,0.0104051172707889,White,"Marion County, AL"
01099,37,0.00568880688806888,Black,"Monroe County, AL"
01105,0,0,Black,"Perry County, AL"
01119,40,0.00914076782449726,Black,"Sumter County, AL"
01121,276,0.00853722663862167,Black,"Talladega County, AL"
01131,21,0.00671785028790787,Black,"Wilcox County, AL"
01133,53,0.00555963495227106,White,"Winston County, AL"
02013,2,9.03750564844103e-4,Native American and Alaska Native,"Aleutians East Borough, AK"
02050,31,0.0048032228075612,Native American and Alaska Native,"Bethel Census Area, AK"
02060,3,0.00677200902934537,Native American and Alaska Native,"Bristol Bay Borough, AK"
02066,4,0.0036697247706422,Native American and Alaska Native,"Copper River Census Area, AK"
02070,15,0.00804289544235925,Native American and Alaska Native,"Dillingham Census Area, AK"
02158,0,0,Native American and Alaska Native,"Kusilvak Census Area, AK"
02164,9,0.0205949656750572,Native American and Alaska Native,"Lake and Peninsula Borough, AK"
02180,100,0.0274499039253363,Native American and Alaska Native,"Nome Census Area, AK"
02185,114,0.0197676434888157,Native American and Alaska Native,"North Slope Borough, AK"
02188,40,0.0151975683890578,Native American and Alaska Native,"Northwest Arctic Borough, AK"
02198,15,0.00562218890554723,Native American and Alaska Native,"Prince of Wales-Hyder Census Area, AK"
02275,15,0.0193298969072165,Native American and Alaska Native,"Wrangell City and Borough, AK"
02282,0,0,Native American and Alaska Native,"Yakutat City and Borough, AK"
02290,15,0.00650195058517555,Native American and Alaska Native,"Yukon-Koyukuk Census Area, AK"
04001,364,0.0203488372093023,Native American and Alaska Native,"Apache County, AZ"
04007,285,0.0151418552757412,Hispanic or Latino,"Gila County, AZ"
04009,173,0.0128605411834671,Hispanic or Latino,"Graham County, AZ"
04011,11,0.00264232524621667,Hispanic or Latino,"Greenlee County, AZ"
04012,15,0.00285388127853881,Hispanic or Latino,"La Paz County, AZ"
04017,498,0.0146738169603394,Native American and Alaska Native,"Navajo County, AZ"
04023,221,0.0119201725997842,Hispanic or Latino,"Santa Cruz County, AZ"
05005,177,0.011700932108151,White,"Baxter County, AR"
05009,437,0.0268708110434729,White,"Boone County, AR"
05017,24,0.00788177339901478,Black,"Chicot County, AR"
05021,6,9.48017064307158e-4,White,"Clay County, AR"
05023,60,0.00631911532385466,White,"Cleburne County, AR"
05027,93,0.0103678929765886,Black,"Columbia County, AR"
05039,0,0,Black,"Dallas County, AR"
05041,51,0.011943793911007,Black,"Desha County, AR"
05049,41,0.0100465572163685,White,"Fulton County, AR"
05055,159,0.00803720365970783,White,"Greene County, AR"
05057,22,0.00272614622057001,Black,"Hempstead County, AR"
05073,19,0.00842945874001775,Black,"Lafayette County, AR"
05075,77,0.011741384568466,White,"Lawrence County, AR"
05077,4,0.00156433320297223,Black,"Lee County, AR"
05089,87,0.0151885474860335,White,"Marion County, AR"
05093,130,0.00745284641403428,Black,"Mississippi County, AR"
05095,6,0.00237717908082409,Black,"Monroe County, AR"
05097,68,0.0218018595703751,White,"Montgomery County, AR"
05099,4,0.00127469725940089,Black,"Nevada County, AR"
05101,63,0.0236220472440945,White,"Newton County, AR"
05103,19,0.00224347620734443,Black,"Ouachita County, AR"
05107,0,0,Black,"Phillips County, AR"
05121,46,0.00660824594167505,White,"Randolph County, AR"
05123,33,0.00411471321695761,Black,"St. Francis County, AR"
05133,11,0.00165239597416254,Hispanic or Latino,"Sevier County, AR"
05135,17,0.00284661754855995,White,"Sharp County, AR"
05137,0,0,White,"Stone County, AR"
05139,160,0.0102748522989982,Black,"Union County, AR"
05141,32,0.00577825929938606,White,"Van Buren County, AR"
05149,79,0.00866228070175439,Hispanic or Latino,"Yell County, AR"
06011,21,0.00220171943803732,Hispanic or Latino,"Colusa County, CA"
06015,138,0.0149269875608437,Hispanic or Latino,"Del Norte County, CA"
06021,219,0.0179921130463359,Hispanic or Latino,"Glenn County, CA"
06027,60,0.00718046912398277,Hispanic or Latino,"Inyo County, CA"
06033,258,0.0101140773844525,Hispanic or Latino,"Lake County, CA"
06035,86,0.00995485588609793,Hispanic or Latino,"Lassen County, CA"
06045,326,0.00836497998563071,Hispanic or Latino,"Mendocino County, CA"
06051,67,0.00944060870790475,Hispanic or Latino,"Mono County, CA"
06103,240,0.00922402859448864,Hispanic or Latino,"Tehama County, CA"
08003,121,0.016157030311123,Hispanic or Latino,"Alamosa County, CO"
08007,152,0.0255161994292429,Hispanic or Latino,"Archuleta County, CO"
08011,0,0,Hispanic or Latino,"Bent County, CO"
08021,30,0.00967741935483871,Hispanic or Latino,"Conejos County, CO"
08023,17,0.0131578947368421,Hispanic or Latino,"Costilla County, CO"
08025,12,0.00700116686114352,Hispanic or Latino,"Crowley County, CO"
08037,531,0.0163339382940109,Hispanic or Latino,"Eagle County, CO"
08045,437,0.013175349734684,Hispanic or Latino,"Garfield County, CO"
08055,13,0.00546448087431694,Hispanic or Latino,"Huerfano County, CO"
08061,3,0.00432900432900433,White,"Kiowa County, CO"
08063,39,0.0113174695298897,Hispanic or Latino,"Kit Carson County, CO"
08071,48,0.00819812126387703,Hispanic or Latino,"Las Animas County, CO"
08073,0,0,Hispanic or Latino,"Lincoln County, CO"
08079,6,0.0141843971631206,White,"Mineral County, CO"
08085,231,0.0125618576322802,Hispanic or Latino,"Montrose County, CO"
08087,113,0.0084290616142026,Hispanic or Latino,"Morgan County, CO"
08089,70,0.00973574408901252,Hispanic or Latino,"Otero County, CO"
08091,57,0.0257452574525745,White,"Ouray County, CO"
08095,7,0.0035035035035035,Hispanic or Latino,"Phillips County, CO"
08099,55,0.0107379929714955,Hispanic or Latino,"Prowers County, CO"
08105,116,0.0227317264354301,Hispanic or Latino,"Rio Grande County, CO"
08109,47,0.0177760968229955,Hispanic or Latino,"Saguache County, CO"
08115,4,0.00380952380952381,Hispanic or Latino,"Sedgwick County, CO"
08125,19,0.0039974752787713,Hispanic or Latino,"Yuma County, CO"
12027,240,0.0198478332782005,Hispanic or Latino,"DeSoto County, FL"
12043,7,0.00211416490486258,Hispanic or Latino,"Glades County, FL"
12047,5,0.00131440588853838,Black,"Hamilton County, FL"
12049,47,0.00519451812555261,Hispanic or Latino,"Hardee County, FL"
12051,40,0.00228206298493838,Hispanic or Latino,"Hendry County, FL"
12079,40,0.00658327847267939,Black,"Madison County, FL"
12087,585,0.0136103485179843,Hispanic or Latino,"Monroe County, FL"
12093,254,0.0170389749781982,Hispanic or Latino,"Okeechobee County, FL"
13003,0,0,Hispanic or Latino,"Atkinson County, GA"
13007,7,0.00791855203619909,Black,"Baker County, GA"
13009,274,0.0157011059538135,Black,"Baldwin County, GA"
13017,47,0.00647561311656104,Black,"Ben Hill County, GA"
13037,0,0,Black,"Calhoun County, GA"
13061,0,0,Black,"Clay County, GA"
13071,68,0.00355816022186175,Hispanic or Latino,"Colquitt County, GA"
13081,94,0.0113526570048309,Black,"Crisp County, GA"
13087,159,0.013899816417519,Black,"Decatur County, GA"
13093,38,0.0095357590966123,Black,"Dooly County, GA"
13099,38,0.00934119960668633,Black,"Early County, GA"
13107,66,0.00766461502729067,Black,"Emanuel County, GA"
13111,89,0.008930363234999,White,"Fannin County, GA"
13133,35,0.00481033534909291,Black,"Greene County, GA"
13141,0,0,Black,"Hancock County, GA"
13163,32,0.00513149454778704,Black,"Jefferson County, GA"
13167,14,0.00422195416164053,Black,"Johnson County, GA"
13175,214,0.0112200492843286,Black,"Laurens County, GA"
13187,208,0.0134881006419817,White,"Lumpkin County, GA"
13193,21,0.00522258144740114,Black,"Macon County, GA"
13205,202,0.0246191346739793,Black,"Mitchell County, GA"
13235,54,0.014496644295302,Black,"Pulaski County, GA"
13239,0,0,Black,"Quitman County, GA"
13243,3,0.00128644939965695,Black,"Randolph County, GA"
13251,57,0.0100158144438587,Black,"Screven County, GA"
13253,21,0.0066793893129771,Black,"Seminole County, GA"
13265,0,0,Black,"Taliaferro County, GA"
13269,45,0.015,Black,"Taylor County, GA"
13271,8,0.00218043063505042,Black,"Telfair County, GA"
13275,383,0.018043908414209,Black,"Thomas County, GA"
13281,66,0.0141600514910963,White,"Towns County, GA"
13285,325,0.0106177921526348,Black,"Troup County, GA"
13287,46,0.0130200962354939,Black,"Turner County, GA"
13291,198,0.0216819973718791,White,"Union County, GA"
13299,78,0.00609851446442533,Black,"Ware County, GA"
13301,43,0.0223144784639336,Black,"Warren County, GA"
13303,86,0.0116531165311653,Black,"Washington County, GA"
13307,0,0,Black,"Webster County, GA"
13309,0,0,Black,"Wheeler County, GA"
13311,219,0.0178092217614052,White,"White County, GA"
13315,24,0.00885282183696053,Black,"Wilcox County, GA"
13317,46,0.0111704711024769,Black,"Wilkes County, GA"
13319,65,0.021234890558641,Black,"Wilkinson County, GA"
16003,41,0.0254027261462206,White,"Adams County, ID"
16007,21,0.00791855203619909,White,"Bear Lake County, ID"
16011,143,0.00682186814235283,Hispanic or Latino,"Bingham County, ID"
16013,69,0.00534179763102888,Hispanic or Latino,"Blaine County, ID"
16017,292,0.0151909270627406,White,"Bonner County, ID"
16029,2,6.09942055504727e-4,White,"Caribou County, ID"
16031,88,0.00780626275170762,Hispanic or Latino,"Cassia County, ID"
16047,45,0.006426735218509,Hispanic or Latino,"Gooding County, ID"
16049,67,0.0103538865708546,White,"Idaho County, ID"
16059,12,0.00376411543287327,White,"Lemhi County, ID"
16063,29,0.0117408906882591,Hispanic or Latino,"Lincoln County, ID"
16067,109,0.0112813082177603,Hispanic or Latino,"Minidoka County, ID"
16071,3,0.00140977443609023,White,"Oneida County, ID"
16079,38,0.00699944741204642,White,"Shoshone County, ID"
16085,64,0.0130638905899163,White,"Valley County, ID"
17001,459,0.0139048773099061,White,"Adams County, IL"
17017,44,0.00749191214030308,Hispanic or Latino,"Cass County, IL"
17021,218,0.0150148081823817,White,"Christian County, IL"
17023,65,0.00891510080921684,White,"Clark County, IL"
17025,47,0.00796205319329155,White,"Clay County, IL"
17029,562,0.024003758595652,White,"Coles County, IL"
17033,69,0.00862607825978247,White,"Crawford County, IL"
17035,50,0.00910746812386157,White,"Cumberland County, IL"
17039,153,0.0199530516431925,White,"De Witt County, IL"
17045,142,0.0182051282051282,White,"Edgar County, IL"
17047,24,0.00879765395894428,White,"Edwards County, IL"
17049,350,0.0198390205192155,White,"Effingham County, IL"
17051,76,0.00889304937982682,White,"Fayette County, IL"
17053,99,0.0154615024207403,White,"Ford County, IL"
17055,145,0.00902302426882389,White,"Franklin County, IL"
17059,2,9.59232613908873e-4,White,"Gallatin County, IL"
17061,72,0.0128136679124399,White,"Greene County, IL"
17065,20,0.00598981731057203,White,"Hamilton County, IL"
17067,56,0.00687200883543993,White,"Hancock County, IL"
17071,78,0.0257001647446458,White,"Henderson County, IL"
17079,91,0.0202492211838006,White,"Jasper County, IL"
17085,133,0.0123939986953686,White,"Jo Daviess County, IL"
17121,141,0.0086391765210465,White,"Marion County, IL"
17125,37,0.00613293552129952,White,"Mason County, IL"
17135,124,0.010953096016253,White,"Montgomery County, IL"
17139,43,0.0063347083087802,White,"Moultrie County, IL"
17149,54,0.00817314968972302,White,"Pike County, IL"
17155,17,0.00639819345126082,White,"Putnam County, IL"
17159,67,0.00889183808891838,White,"Richland County, IL"
17165,72,0.0071992800719928,White,"Saline County, IL"
17169,6,0.00201884253028264,White,"Schuyler County, IL"
17171,18,0.0076530612244898,White,"Scott County, IL"
17173,110,0.0109105336242809,White,"Shelby County, IL"
17181,64,0.00930232558139535,White,"Union County, IL"
17185,35,0.00677113561617334,White,"Wabash County, IL"
17189,84,0.0122645641699518,White,"Washington County, IL"
17191,141,0.0201083856246435,White,"Wayne County, IL"
17193,61,0.009910641754671,White,"White County, IL"
18001,140,0.00911221036188493,White,"Adams County, IN"
18009,88,0.018051282051282,White,"Blackford County, IN"
18025,37,0.00869769628584861,White,"Crawford County, IN"
18031,256,0.0192278804266186,White,"Decatur County, IN"
18033,398,0.0188894162316089,White,"DeKalb County, IN"
18041,63,0.00598688586904875,White,"Fayette County, IN"
18045,108,0.0141937179655671,White,"Fountain County, IN"
18049,122,0.013343541507164,White,"Fulton County, IN"
18051,272,0.0170672021083014,White,"Gibson County, IN"
18055,164,0.0119847997661502,White,"Greene County, IN"
18065,230,0.0111840505713591,White,"Henry County, IN"
18069,345,0.0187367620702764,White,"Huntington County, IN"
18075,88,0.00931216931216931,White,"Jay County, IN"
18077,114,0.00774351310963184,White,"Jefferson County, IN"
18079,160,0.011915400655347,White,"Jennings County, IN"
18083,244,0.0140076927492967,White,"Knox County, IN"
18087,98,0.00559680182752713,White,"LaGrange County, IN"
18093,167,0.00791169224938412,White,"Lawrence County, IN"
18101,115,0.0254087494476359,White,"Martin County, IN"
18107,74,0.00398620986856281,White,"Montgomery County, IN"
18117,26,0.0028587135788895,White,"Orange County, IN"
18123,53,0.00635720283075447,White,"Perry County, IN"
18125,25,0.00445235975066785,White,"Pike County, IN"
18131,107,0.018259385665529,White,"Pulaski County, IN"
18135,90,0.00797943080060289,White,"Randolph County, IN"
18137,166,0.0113964025813538,White,"Ripley County, IN"
18139,105,0.0139776357827476,White,"Rush County, IN"
18143,37,0.0035001418976445,White,"Scott County, IN"
18147,150,0.0154130702836005,White,"Spencer County, IN"
18149,20,0.00209863588667366,White,"Starke County, IN"
18151,203,0.0122340746097752,White,"Steuben County, IN"
18155,17,0.00399154731157549,White,"Switzerland County, IN"
18159,136,0.0178313884882654,White,"Tipton County, IN"
18169,136,0.00943658062725507,White,"Wabash County, IN"
18179,214,0.0149514427443583,White,"Wells County, IN"
19001,35,0.00962331591971405,White,"Adair County, IA"
19003,19,0.0111764705882353,White,"Adams County, IA"
19007,37,0.00766204183060675,White,"Appanoose County, IA"
19009,5,0.00175870559268378,White,"Audubon County, IA"
19019,117,0.0112781954887218,White,"Buchanan County, IA"
19021,64,0.00618656355727405,Hispanic or Latino,"Buena Vista County, IA"
19023,80,0.0117113160591421,White,"Butler County, IA"
19025,32,0.00762449368596617,White,"Calhoun County, IA"
19027,79,0.00729320531757755,White,"Carroll County, IA"
